Geneid,TR_AG_1,TR_AG_2,TR_AG_3,TR_SH_1,TR_SH_2,TR_SH_3
Drd2,0,0,0,0,1,0
Ankk1,0,1,0,0,0,0
Ttc12,49,158,69,59,196,66
Ncam1,2395,3343,2635,1009,2157,939
Gm11149,309,394,336,149,278,109
Plet1os,2,11,3,4,3,9
Plet1,8,21,8,13,5,20
Pts,213,330,214,139,319,167
Bco2,0,5,0,4,9,3
Tex12,0,2,0,0,1,0
Il18,80,190,93,90,193,100
Sdhd,2404,3402,2634,2181,2336,2535
Timm8b,1143,1280,1198,797,1187,854
AU019823,527,803,574,454,524,502
Pih1d2,36,63,39,52,25,38
Dlat,1452,2278,1734,1496,1487,1634
Dixdc1,416,925,475,363,329,359
2310030G06Rik,18,40,23,14,8,13
Hspb2,96,141,95,53,70,69
Cryab,9632,17966,10250,6143,5824,7005
1110032A03Rik,180,218,204,125,179,115
Fdxacb1,85,119,92,81,95,94
Alg9,583,925,554,493,539,486
Ppp2r1b,1546,2476,1690,1145,1211,1220
Sik2,761,1324,745,496,610,510
Layn,445,1966,476,161,434,173
4833427G06Rik,1,1,5,0,0,1
Mir34c,0,0,0,0,0,0
Mir34b,0,0,0,0,0,0
Btg4,2,1,2,0,0,1
Pou2af1,0,0,0,0,0,0
Gm684,41,70,32,45,41,54
1810046K07Rik,0,0,0,0,0,0
Arhgap20,18,480,23,21,26,16
Arhgap20os,2,11,1,3,0,0
4933407I05Rik,0,0,0,0,0,0
Fdx1,386,618,398,254,329,346
Gm6981,10,10,11,13,7,2
Rdx,3073,5995,3533,2726,2769,2599
Zc3h12c,162,430,177,157,250,130
Mir6244,9,13,10,11,12,4
AI593442,1,3,0,0,0,0
Gm1715,0,0,0,0,0,0
Ddx10,935,1593,988,1110,750,1124
Exph5,140,155,165,126,59,94
Kdelc2,771,1475,992,702,1182,707
Mir130c,43,106,62,41,78,43
4930550C14Rik,10,17,4,9,2,6
Atm,1922,3600,2217,2532,1725,2167
Npat,1084,1772,1176,1228,1185,1109
Acat1,1327,3013,1434,964,2142,1117
Cul5,1532,2607,1753,1504,1515,1327
Rab39,0,0,0,0,1,0
Slc35f2,0,3,0,11,2,3
Sln,0,2,0,0,0,0
Elmod1,0,4,0,0,9,0
Tnfaip8l3,1,7,0,1,14,2
Cyp19a1,0,3,0,0,0,0
Gldnos,0,6,0,0,0,0
Gldn,0,0,0,0,0,0
Dmxl2,46,42,45,28,140,29
Sh2d7,0,1,4,0,3,0
Cib2,14,56,10,1,87,1
Idh3a,2578,3231,2689,2077,2213,2187
Acsbg1,863,559,949,271,560,229
Dnaja4,362,388,396,24,274,36
Mir5710,0,0,0,0,0,0
Wdr61,852,1475,851,640,964,832
Crabp1,0,65,0,0,59,0
Ireb2,2339,3923,2693,2512,2714,2323
Hykk,48,236,40,145,114,97
AY074887,622,803,671,573,541,550
Psma4,3367,5180,3883,3148,3172,3592
Chrna5,0,0,0,0,0,0
Chrna3,1,0,0,0,0,0
Chrnb4,0,1,0,0,1,0
Ube2q2,673,864,771,419,713,436
Fbxo22,911,1301,990,739,957,835
Nrg4,120,197,174,99,151,115
AI118078,14,14,15,3,14,12
Etfa,1902,2762,2008,1374,2277,1610
Isl2,44,67,39,41,15,42
Scaper,324,671,303,312,452,315
Rfpl3s,1,0,0,0,0,0
Gm7444,2,0,1,2,0,0
Rcn2,1144,2958,1292,1066,2524,1144
Pstpip1,613,713,664,369,633,436
Tspan3,1974,3959,2204,1351,3165,1591
Peak1,1978,6847,2228,1830,4007,1459
Hmg20a,660,1084,776,583,860,592
Lingo1,4,5,0,1,1,2
Odf3l1,0,3,0,0,0,0
Cspg4,40,356,52,2,60,1
Snx33,887,1484,1061,762,1735,771
Imp3,906,1070,849,490,1043,566
Snupn,265,442,301,244,325,270
Ptpn9,1343,2992,1492,1213,2421,1190
Gm10658,103,242,110,70,181,90
Sin3a,1517,2919,1728,1869,2075,1624
Man2c1os,69,131,69,59,133,70
Man2c1,411,823,392,335,884,347
Neil1,121,184,152,108,214,117
Commd4,1359,1674,1416,1110,2293,1242
1700041C23Rik,0,0,0,0,0,0
Trcg1,1,4,3,3,7,2
1700017B05Rik,1672,3893,1755,2090,4969,1862
4930430J02Rik,0,0,0,0,8,1
Ppcdc,276,440,299,251,570,309
Scamp5,1102,1090,1205,680,1049,653
Rpp25,1073,319,1058,576,25,601
Cox5a,3217,3994,3387,2083,4335,2681
Fam219b,463,787,553,358,635,363
Mpi,757,1003,825,611,1011,660
Scamp2,1677,2409,1846,1187,2355,1212
Ulk3,259,383,327,217,368,235
Cplx3,5,3,3,0,7,2
Lman1l,36,24,32,8,31,10
Csk,1845,2807,1987,1332,2274,1409
Cyp1a2,0,0,0,0,4,0
Cyp1a1,2,20,3,21,5,26
Edc3,706,1094,775,653,771,633
Clk3,899,1434,1004,918,1300,886
Arid3b,47,84,53,36,52,44
Ubl7,1063,1724,1205,962,1274,1134
Sema7a,0,8,0,4,33,0
