""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PPP1R2"	3936.65841827591	1.68474896061657	0.0837513328185969	20.1160853674496	5.33583750005202e-90	2.40913378965419e-06
"PPP1R26"	402.477090851322	-2.74174896319363	0.157954370253163	-17.3578544157991	1.72033304648539e-67	7.04927431953258e-05
"PPP1R3C"	381.35276267968	2.37999117788136	0.145855320257696	16.3174793602071	7.41340543521149e-60	0.00021831613965767
"PPP2R2C"	1356.81218541592	-2.6152189838903	0.0953817113543197	-27.418453147432	1.6527167294957e-165	2.30647881746141e-11
"PPP3CA"	433.820228135397	-1.99246006486955	0.158590741728572	-12.5635333005734	3.35030360647447e-36	0.00714504942307861
"PPP4R3A"	563.761762574215	-1.60550502675822	0.131845405472427	-12.1771784235134	4.11264884130194e-34	0.0097298758703643
"PRCP"	3283.15698377001	1.37252935508763	0.0820459184533093	16.7287950572302	8.08575640914794e-63	0.000139383621636353
"PRDX2"	8759.06514865635	1.04100210215509	0.0730882038977663	14.2430932303552	4.94871717810243e-46	0.00166068672534069
"PRDX3"	11714.2639736799	1.33755791294956	0.0930804948716728	14.3699054758315	7.99402772605959e-47	0.00149972719247028
"PRDX4"	6030.11304605704	1.22231206568213	0.0946251591779997	12.917410932782	3.59019913848399e-38	0.00528381353182269
"PRDX6"	14096.2259286922	1.04341749700134	0.0668751823939394	15.6024620741207	7.00400522910985e-55	0.000463169623231379
"PRELID1"	8576.40660194239	1.01251843945715	0.0702277267544836	14.4176450847814	4.00785469444675e-47	0.00143146933041814
"PRKCSH"	2575.47418651771	-1.65908123728014	0.127608977650734	-13.0012893122696	1.20297880687881e-38	0.0048969495105261
"PRKDC"	2896.94690001525	-1.71190100703316	0.113590609239396	-15.0707969478821	2.5205416737282e-51	0.000782926256940147
"PROCR"	1517.14108562879	1.78839450067984	0.0958005286130675	18.6678980436847	9.033886107698e-78	1.53645204188817e-05
"PRPF40A"	668.414911412638	-1.50635992949215	0.114030854790162	-13.2101081962784	7.67140832389484e-40	0.00406908485137167
"PRPS1"	3996.10222346933	1.25544215579971	0.0785977260042877	15.9730086304434	1.97047469754916e-57	0.000316743005792506
"PRR12"	903.433752739112	-2.23259913651245	0.157266725944251	-14.1962587642593	9.66355082192819e-46	0.00173182045743861
"PRR13"	3419.55316311402	1.58264940337135	0.074163501018868	21.3400039322402	4.82905950724681e-101	4.69343514639903e-07
"PRR9"	215.725449500087	7.01758619648844	0.448287558571298	15.6542069087388	3.10965623493652e-55	0.000439829222550643
"PRXL2B"	437.01571244624	-1.97107733090982	0.156613247095726	-12.5856360650325	2.53294261148961e-36	0.00702466939407615
"PSENEN"	1032.96765577793	1.48971134512386	0.106473087306732	13.9914356088148	1.75826495572301e-44	0.00206976834799928
"PSIP1"	1445.10477747338	-1.50509023235624	0.100323462046833	-15.0023753332358	7.08381278623825e-51	0.000835155519738586
